Entry,Duelist A,Res,ult,Duelist B,Tournament
124,Jose Reyes,2,1,Justin Le,88 24/6/16 R1
125,Allen Wu,0,2,JJ Wolf,88 24/6/16 R1
127,JJ Wolf,2,1,Donghun Kang,88 24/6/16 R2
128,Jose Reyes,2,1,Qiu Yang,88 24/6/16 R2
129,Matt Griffin,2,1,Tuong Lai,88 24/6/16 R2
130,Tenzing Kunsang,1,2,Gustavo Romero,88 24/6/16 R2
131,Sebastian Rivera,0,2,Eric Baldwin,88 24/6/16 R2
132,Brian Huynh,1,2,Alex Baldwin,88 24/6/16 R2
133,Justin Le,0,2,Kenneth Kuo,88 24/6/16 R2
135,Donghun Kang,2,0,Kenneth Kuo,88 24/6/16 R3
136,Matt Griffin,2,0,Qiu Yang,88 24/6/16 R3
137,Jose Reyes,1,2,Gustavo Romero,88 24/6/16 R3
138,Brian Huynh,2,0,Allen Wu,88 24/6/16 R3
139,Tenzing Kunsang,2,1,Eric Baldwin,88 24/6/16 R3
140,JJ Wolf,2,0,Alex Baldwin,88 24/6/16 R3
142,Sebastian Rivera,2,1,Allen Wu,88 24/6/16 R4
143,Tenzing Kunsang,1,2,Donghun Kang,88 24/6/16 R4
144,Brian Huynh,2,0,Jose Reyes,88 24/6/16 R4
145,Matt Griffin,1,2,Alex Baldwin,88 24/6/16 R4
146,Gustavo Romero,1,2,JJ Wolf,89 24/6/16 R4
147,Qiu Yang,2,0,Kenneth Kuo,88 24/6/16 R4
149,Donghun Kang,2,0,Alex Baldwin,88 24/6/16 T4
150,Gustavo Romero,2,0,JJ Wolf,88 24/6/16 T4
151,Donghun Kang,2,0,Gustavo Romero,88 24/6/16 T2
152,Jose Reyes,2,0,Donghun Kang,Discord 24/6/19 R1
153,Tuong Lai,2,1,Sam Hoang,Discord 24/6/19 R1
154,Joseph Chung,0,2,Matt Griffin,Discord 24/6/19 R1
155,Jose Reyes,1,2,Matt Griffin,Discord 24/6/19 R2
156,Donghun Kang,2,0,Tuong Lai,Discord 24/6/19 R2
157,Joseph Chung,2,0,Sam Hoang,Discord 24/6/19 R2
158,Tuong Lai,2,0,Matt Griffin,Discord 24/6/19 R3
159,Joseph Chung,1,2,Jose Reyes,Discord 24/6/19 R3
160,Donghun Kang,2,0,Sam Hoang,Discord 24/6/19 R3
161,Jose Reyes,1,2,Matt Griffin,Discord 24/6/19 12
162,Donghun Kang,1,2,Tuong Lai,Discord 24/6/19 34
163,Claudio Vacloudio,2,1,Daniel Nath,Galaxy 24/6/22 R1
164,Brian Huynh,1,2,Alvin Phan,Galaxy 24/6/22 R1
165,Donghun Kang,0,2,Klint Pangilinan,Galaxy 24/6/22 R1
166,Jerome Daniels,2,0,George Callacna,Galaxy 24/6/22 R1
167,Alvaro Lopez,2,1,Jose Reyes,Galaxy 24/6/22 R1
168,Garaku Obloma,0,2,Gustavo Romero,Galaxy 24/6/22 R1
169,Ryan Dahili,2,1,Jenner Jones,Galaxy 24/6/22 R1
170,Alvaro Lopez,0,2,Alvin Phan,Galaxy 24/6/22 R2
171,Ryan Dahili,2,0,Nicco Zaragoza,Galaxy 24/6/22 R2
172,Jerome Daniels,1,2,Claudio Vacloudio,Galaxy 24/6/22 R2
173,Gustavo Romero,1,2,Klint Pangilinan,Galaxy 24/6/22 R2
174,Garaku Obloma,0,2,Donghun Kang,Galaxy 24/6/22 R2
175,Brian Huynh,0,2,George Callacna,Galaxy 24/6/22 R2
176,Jenner Jones,1,2,Jose Reyes,Galaxy 24/6/22 R2
177,Ryan Dahili,2,0,Claudio Vacloudio,Galaxy 24/6/22 R3
178,Alvin Phan,2,1,Klint Pangilinan,Galaxy 24/6/22 R3
179,Jerome Daniels,2,0,Daniel Nath,Galaxy 24/6/22 R3
180,Jose Reyes,0,2,Donghun Kang,Galaxy 24/6/22 R3
181,Nicco Zaragoza,0,2,George Callacna,Galaxy 24/6/22 R3
182,Alvaro Lopez,0,2,Gustavo Romero,Galaxy 24/6/22 R3
183,Garaku Obloma,1,2,Brian Huynh,Galaxy 24/6/22 R3
184,Ryan Dahili,2,1,Alvin Phan,Galaxy 24/6/22 T2
185,Alexandro Morales,2,0,Klint Pangilinan,88 24/6/23 R1
186,JJ Wolf,1,2,Brian Huynh,88 24/6/23 R1
187,Sebastian Rivera,0,2,Alex Baldwin,88 24/6/23 R1
188,Gustavo Romero,2,1,Mack McGhee,88 24/6/23 R1
189,Johnston Pau,2,0,Vincent Tran,88 24/6/23 R1
190,Samuel Delgado,2,1,Alvin Phan,88 24/6/23 R1
191,Andy Tsang,2,0,Matt Griffin,88 24/6/23 R1
192,Eric Baldwin,2,1,Sam Hoang,88 24/6/23 R1
193,Calvin Chow,2,1,Jose Reyes,88 24/6/23 R1
194,Andy Tsang,2,1,Johnston Pau,88 24/6/23 R2
195,Alex Baldwin,2,1,Tuong Lai,88 24/6/23 R2
196,Calvin Chow,2,1,Samuel Delgado,88 24/6/23 R2
197,Gustavo Romero,2,1,Eric Baldwin,88 24/6/23 R2
198,Alexandro Morales,1,2,Brian Huynh,88 24/6/23 R2
199,Jose Reyes,0,2,Vincent Tran,88 24/6/23 R2
200,JJ Wolf,2,1,Klint Pangilinan,88 24/6/23 R2
201,Sebastian Rivera,1,2,Alvin Phan,88 24/6/23 R2
202,Sam Hoang,1,2,Matt Griffin,88 24/6/23 R2
203,Brian Huynh,2,0,Gustavo Romero,88 24/6/23 R3
204,Calvin Chow,2,1,Andy Tsang,88 24/6/23 R3
205,Alex Baldwin,0,2,Matt Griffin,88 24/6/23 R3
206,Eric Baldwin,1,2,Mack McGhee,88 24/6/23 R3
207,Tuong Lai,2,1,Vincent Tran,88 24/6/23 R3
208,Alexandro Morales,2,1,Alvin Phan,88 24/6/23 R3
209,Johnston Pau,2,0,Samuel Delgado,88 24/6/23 R3
210,JJ Wolf,2,0,Sam Hoang,88 24/6/23 R3
211,Sebastian Rivera,2,0,Jose Reyes,88 24/6/23 R3
212,Calvin Chow,1,2,Brian Huynh,88 24/6/23 R4
213,JJ Wolf,2,1,Matt Griffin,88 24/6/23 R4
214,Johnston Pau,2,1,Mack McGhee,88 24/6/23 R4
